time,P,G(i),H_sun,T2m,WS10m,Int
20120120:1311,119.26,84.96,16.83,7.67,7.59,0
20120120:1411,147.3,100.74,13.36,7.51,6.97,0
20120120:1511,119.64,84.96,7.96,7.41,5.93,0
20120120:1611,0,0,0,7.41,5.59,0
20120120:1711,0,0,0,7.47,5.59,0
20120120:1811,0,0,0,7.48,5.52,0
20120120:1911,0,0,0,7.49,5.24,0
20120120:2011,0,0,0,7.28,4.76,0
20120120:2111,0,0,0,7.05,4.28,0
20120120:2211,0,0,0,6.82,4.07,0
20120120:2311,0,0,0,6.7,4.21,0
20120121:0011,0,0,0,6.84,4.62,0
20120121:0111,0,0,0,7.32,4.9,0
20120121:0211,0,0,0,7.99,5.59,0
20120121:0311,0,0,0,8.85,6.14,0
20120121:0411,0,0,0,9.45,6.55,0
20120121:0511,0,0,0,9.6,6.76,0
20120121:0611,0,0,0,9.56,6.83,0
20120121:0711,0,0,0,9.67,7.31,0
20120121:0811,0,0,0,9.66,7.45,0
20120121:0911,274.48,173.14,8.27,9.98,7.52,0
20120121:1011,775.82,458.88,13.65,10.23,7.66,0
20120121:1111,320.28,199.43,17.09,10.35,7.79,0
20120121:1211,922.68,549.44,18.26,10.55,6.97,0
20120121:1311,175.24,118.16,17.06,10.29,7.38,0
20120121:1411,73.14,58.12,13.59,9.91,6.9,0
20120121:1511,81.02,62.64,8.19,9.38,7.1,0
20120121:1611,0,0,0,8.55,7.03,0
20120121:1711,0,0,0,8.04,6.83,0
20120121:1811,0,0,0,7.63,6.76,0
20120121:1911,0,0,0,7.59,7.31,0
20120121:2011,0,0,0,7.19,7.17,0
20120121:2111,0,0,0,6.82,6.97,0
20120121:2211,0,0,0,6.21,6.55,0
20120121:2311,0,0,0,5.71,6.28,0
20120122:0011,0,0,0,5.34,6,0
20120122:0111,0,0,0,5.06,5.79,0
20120122:0211,0,0,0,4.68,5.59,0
20120122:0311,0,0,0,4.33,5.45,0
20120122:0411,0,0,0,4.13,5.72,0
20120122:0511,0,0,0,4.07,6.21,0
20120122:0611,0,0,0,4.14,6.34,0
20120122:0711,0,0,0,5.2,6.97,0
20120122:0811,0,0,0,6.08,7.31,0
20120122:0911,298.62,184.63,8.45,7.3,7.45,0
20120122:1011,589.28,347.4,13.85,8.27,7.79,0
20120122:1111,381.64,232.43,17.3,8.87,7.38,0
20120122:1211,255.72,162.92,18.49,9.45,8.62,0
20120122:1311,1045.42,619.33,17.29,9.64,8,0
20120122:1411,90.96,68.79,13.83,9.73,8.28,0
20120122:1511,212.74,138.91,8.42,9.29,7.38,0
20120122:1611,0,0,0,8.53,6.55,0
20120122:1711,0,0,0,7.53,5.86,0
20120122:1811,0,0,0,6.58,5.52,0
20120122:1911,0,0,0,6.31,5.31,0
20120122:2011,0,0,0,5.77,4.97,0
20120122:2111,0,0,0,5.13,4.62,0
20120122:2211,0,0,0,4.59,4.41,0
20120122:2311,0,0,0,4.26,4.34,0
20120123:0011,0,0,0,4.04,4.21,0
20120123:0111,0,0,0,4.22,4.14,0
20120123:0211,0,0,0,4.29,4.07,0
20120123:0311,0,0,0,3.76,4,0
20120123:0411,0,0,0,3.41,3.93,0
20120123:0511,0,0,0,3.01,3.86,0
20120123:0611,0,0,0,2.57,3.72,0
20120123:0711,0,0,0,2.79,4,0
20120123:0811,0,2.72,1.67,2.68,4.07,0
20120123:0911,179.04,116.6,8.63,3.21,4.07,0
20120123:1011,161.84,107.98,14.04,4.43,3.79,0
20120123:1111,212.04,136.79,17.52,5.65,4.55,0
20120123:1211,193.06,126.72,18.72,6.62,5.59,0
20120123:1311,330.16,203.08,17.53,7.06,5.24,0
20120123:1411,974.78,578.81,14.07,7.18,5.1,0
20120123:1511,360.08,220.22,8.66,6.15,4.83,0
20120123:1611,0,1.82,1.72,5.85,4.21,0
20120123:1711,0,0,0,5.17,4.14,0
20120123:1811,0,0,0,4.68,4.14,0
