LCLid,KWH/hh (per half hour)
MAC000008,0.262
MAC000008,0.24
MAC000008,0.345
MAC000008,0.451
MAC000008,0.393
MAC000008,0.271
MAC000008,0.198
MAC000008,0.184
MAC000008,0.189
MAC000008,0.223
MAC000008,0.194
MAC000008,0.24
MAC000008,0.2
MAC000008,0.165
MAC000008,0.188
MAC000008,0.177
MAC000008,0.193
MAC000008,0.162
MAC000008,0.142
MAC000008,0.183
MAC000008,0.131
MAC000008,0.212
MAC000008,0.213
MAC000008,0.467
MAC000008,0.602
MAC000008,0.307
MAC000008,0.219
MAC000008,0.816
MAC000008,1.034
MAC000008,0.911
MAC000008,0.557
MAC000008,0.231
MAC000008,0.208
MAC000008,0.25
MAC000008,0.218
MAC000008,0.248
MAC000008,0.211
MAC000008,0.199
MAC000008,0.256
MAC000008,0.222
MAC000008,0.223
MAC000008,0.228
MAC000008,0.285
MAC000008,0.263
MAC000008,0.212
MAC000008,0.397
MAC000008,0.855
MAC000008,0.958
MAC000008,0.559
MAC000008,0.52
MAC000008,0.556
MAC000008,0.456
MAC000008,0.29
MAC000008,0.448
MAC000008,0.521
MAC000008,0.448
MAC000008,0.472
MAC000008,0.491
MAC000008,0.315
MAC000008,0.207
MAC000008,0.147
MAC000008,0.194
MAC000008,0.171
MAC000008,0.189
MAC000008,0.197
MAC000008,0.396
MAC000008,0.497
MAC000008,0.417
MAC000008,0.405
MAC000008,0.431
MAC000008,0.431
MAC000008,0.484
MAC000008,0.265
MAC000008,0.332
MAC000008,0.275
MAC000008,0.262
MAC000008,0.236
MAC000008,0.993
MAC000008,0.57
MAC000008,0.913
MAC000008,0.933
MAC000008,0.342
MAC000008,0.236
MAC000008,0.224
MAC000008,0.202
MAC000008,0.236
MAC000008,0.223
MAC000008,0.25
MAC000008,0.251
MAC000008,0.215
MAC000008,0.213
MAC000008,0.228
MAC000008,0.316
MAC000008,0.263
MAC000008,0.276
MAC000008,0.186
MAC000008,0.247
MAC000008,0.265
MAC000008,0.236
MAC000008,0.274
MAC000008,0.26
MAC000008,0.329
MAC000008,0.318
MAC000008,0.273
MAC000008,0.239
MAC000008,0.269
MAC000008,0.166
MAC000008,0.212
MAC000008,0.169
MAC000008,0.151
MAC000008,0.175
MAC000008,0.17
MAC000008,0.155
MAC000008,0.183
MAC000008,0.216
MAC000008,0.16
MAC000008,0.27
MAC000008,0.244
MAC000008,0.203
MAC000008,0.23
MAC000008,0.247
MAC000008,0.226
MAC000008,0.224
MAC000008,0.212
MAC000008,0.268
MAC000008,0.269
MAC000008,0.264
MAC000008,0.282
MAC000008,0.281
MAC000008,0.268
MAC000008,0.247
MAC000008,0.272
MAC000008,0.254
MAC000008,0.271
MAC000008,0.315
MAC000008,0.271
MAC000008,0.289
MAC000008,0.34
MAC000008,0.288
MAC000008,0.212
MAC000008,0.214
MAC000008,0.223
MAC000008,0.216
MAC000008,0.171
MAC000008,0.288
MAC000008,0.242
MAC000008,0.251
MAC000008,0.288
MAC000008,0.206
MAC000008,0.181
MAC000008,0.182
MAC000008,0.197
MAC000008,0.183
MAC000008,0.184
MAC000008,0.187
MAC000008,0.212
MAC000008,0.19
MAC000008,0.168
MAC000008,0.183
MAC000008,0.258
MAC000008,0.2
MAC000008,0.331
MAC000008,0.384
MAC000008,0.362
MAC000008,0.359
MAC000008,0.356
MAC000008,0.355
MAC000008,0.349
